#wvl           I[ 0.0 deg]       I[20.0 deg]       I[40.0 deg]       I[60.0 deg]       I[80.0 deg]       
#[um]          [erg/s/cm/sr]     [erg/s/cm/sr]     [erg/s/cm/sr]     [erg/s/cm/sr]     [erg/s/cm/sr]     
4.989567268    12269.4806        12234.3427        12130.9375        11966.2071        11755.5969        
4.987078932    18628.8079        18508.2658        18113.792         17304.4045        15459.6941        
4.984593076    17466.8893        17355.1532        16993.1526        16265.5816        14664.1045        
4.982109697    15554.2833        15463.382         15171.5242        14597.0442        13387.4652        
4.979628791    13610.4676        13534.9675        13299.4897        12869.9392        12154.4547        
4.977150355    16248.602         16143.4181        15805.3746        15139.1285        13741.4532        
4.974674385    18223.5952        18102.6925        17708.5626        16906.6413        15108.9766        
4.972200877    12216.9986        12183.7984        12087.5347        11938.7657        11757.0644        
4.969729827    13085.0068        13026.3253        12843.7299        12513.3395        11987.4922        
4.967261233    12010.4464        11990.299         11931.7326        11840.7499        11728.6203        
4.964795089    17002.8722        16887.4505        16514.8775        15773.4029        14192.583         
4.962331394    13869.4179        13787.6445        13533.3677        13072.2217        12298.5023        
4.959870142    13739.029         13668.2943        13445.0735        13025.2115        12267.7957        
4.95741133     12477.6537        12439.1412        12321.6238        12120.4667        11839.34          
4.954954955    11737.9515        11734.6975        11725.3739        11711.2678        11694.4802        
4.952501013    17628.3301        17512.6457        17137.7401        16384.382         14734.4178        
4.9500495      15550.3836        15445.5838        15110.9067        14462.5733        13176.2744        
4.947600414    14482.7297        14383.0262        14070.0258        13490.1345        12481.8394        
4.945153749    16453.5602        16345.2919        15997.1547        15310.191         13866.635         
4.942709503    13010.8027        12949.2715        12761.2089        12435.9921        11965.2149        
4.940267673    17752.6554        17635.8323        17256.9918        16494.6248        14819.5604        
4.937828253    11925.7536        11912.4353        11873.9113        11814.5859        11742.3005        
4.935391242    16744.0536        16638.3952        16297.5958        15619.6236        14164.2978        
4.932956635    15003.9801        14912.917         14623.0591        14063.6429        12945.3219        
4.930524429    15260.6943        15166.1816        14864.742         14280.795         13103.7657        
4.928094619    13453.9404        13386.8879        13177.1444        12792.1592        12148.1176        
4.925667204    12121.1608        12098.4047        12031.4202        11925.0216        11790.1052        
4.923242179    16091.6824        15963.1421        15552.9817        14762.9138        13247.2013        
4.92081954     12741.2569        12693.4195        12546.7213        12291.833         11926.5875        
4.918399285    14071.0411        13992.3905        13743.6118        13273.4257        12417.9035        
4.915981409    12049.5317        12030.6656        11975.7179        11890.1763        11784.6382        
4.913565909    17276.4363        17159.5535        16781.3783        16024.8905        14396.0584        
4.911152781    16730.1873        16618.2864        16258.0397        15545.2654        14040.5791        
4.908742023    12573.6601        12531.7244        12404.3558        12188.6801        11895.228         
4.906333631    13837.7751        13756.1453        13502.4089        13043.0989        12286.2329        
4.9039276      16960.8397        16851.767         16500.198         15802.1891        14312.7263        
4.901523928    18302.3233        18180.6059        17784.1695        16979.3948        15186.9745        
4.899122612    14496.3532        14409.6858        14135.4637        13614.8803        12634.8584        
4.896723647    14906.3535        14814.5947        14523.2351        13964.4967        12870.9107        
4.89432703     14041.6279        13967.8029        13733.996         13289.4448        12457.033         
4.891932758    18210.9609        18090.5269        17699.354         16910.2444        15174.8769        
4.889540828    17211.8692        17097.2173        16726.978         15988.9136        14403.4072        
4.887151235    12063.4872        12045.3398        11992.7538        11911.7171        11813.2074        
4.884763977    14012.8522        13939.4523        13707.1377        13266.2233        12445.6797        
4.88237905     17295.8031        17180.8751        16810.0145        16072.138         14494.1913        
4.879996451    18409.3704        18289.7963        17899.6095        17104.0864        15319.1742        
4.877616176    15503.6623        15401.1552        15074.6778        14444.9678        13192.1271        
4.875238222    13474.9091        13410.4222        13208.2664        12834.9045        12201.7118        
4.872862585    12408.83          12373.2303        12268.4358        12101.7035        11889.9571        
4.870489263    16037.6267        15903.6924        15478.2528        14668.8997        13171.0225        
4.868118251    16891.7061        16770.6698        16381.4039        15613.9852        14019.1142        
4.865749547    12157.1183        12135.7051        12072.9882        11974.3597        11851.1006        
4.863383146    13223.4338        13165.1651        12983.6203        12654.068         12123.9749        
4.861019046    14619.1757        14515.7426        14193.1664        13603.8811        12599.9904        
4.858657244    17035.4408        16910.0881        16505.6373        15703.4048        14029.8875        
4.856297735    11976.1419        11965.6822        11935.2417        11887.7396        11828.6651        
4.853940517    12868.5068        12818.9958        12666.8096        12400.809         12015.0964        
4.851585586    16995.2211        16876.8107        16495.7315        15742.6971        14162.4715        
4.84923294     13275.0304        13200.4861        12977.1379        12606.5042        12096.0756        
4.846882573    13304.0126        13246.689         13066.931         12735.0643        12178.4831        
4.844534484    12884.7292        12834.3969        12679.9261        12410.9066        12023.8034        
4.842188669    15134.8485        15037.4959        14727.9171        14133.7215        12980.3624        
4.839845125    17147.0553        17032.9635        16664.3865        15929.376         14356.7734        
4.837503848    12528.2571        12492.2239        12383.2261        12200.4563        11953.2619        
4.835164835    15098.4672        14998.6221        14682.0615        14078.4884        12924.3341        
4.832828083    13470.6887        13404.3991        13197.8934        12822.6337        12211.988         
4.830493589    17132.0422        17005.546         16598.0871        15792.6378        14118.1426        
4.828161348    12741.5597        12698.6487        12567.0802        12339.0285        12013.0609        
4.825831359    16814.4713        16699.8773        16331.4431        15604.8002        14082.275         
4.823503618    11996.5071        11986.4906        11957.666         11913.6963        11860.8324        
4.821178121    16657.5468        16542.4477        16173.1088        15448.2843        13947.2661        
4.818854865    15899.4534        15803.4964        15496.2431        14895.0737        13640.9822        
4.816533847    14200.8036        14131.9479        13913.5346        13496.2924        12692.2717        
4.814215064    12095.9734        12080.7303        12036.6297        11968.7354        11886.0941        
4.811898513    14811.7665        14720.0042        14429.5983        13877.3548        12825.3517        
4.80958419     16797.949         16678.9921        16296.0287        15539.6761        13968.0097        
4.807272092    18026.2948        17902.8351        17503.2906        16703.962         14980.2045        
4.804962216    12010.1623        12000.7779        11973.6065        11931.6548        11880.3811        
4.802654558    12567.7435        12529.9967        12416.5498        12229.261         11984.3434        
4.800349116    12498.4246        12467.5717        12374.7362        12218.7009        11995.5574        
4.798045887    18333.4401        18205.6465        17790.5894        16953.7287        15120.943         
4.795744866    14058.6139        13983.9889        13748.4103        13304.4349        12496.2707        
4.793446052    12114.774         12099.7153        12056.1863        11989.239         11907.8211        
4.79114944     16445.4308        16332.3534        15970.2183        15262.7232        13810.5978        
4.788855028    16932.9916        16815.1192        16435.6982        15686.7721        14130.8267        
4.786562813    14358.1182        14281.697         14038.9167        13573.5204        12680.4762        
4.784272791    14341.2084        14257.6063        13994.1533        13499.028         12596.6392        
4.781984958    15181.4225        15081.9691        14766.8724        14166.3334        13011.079         
4.779699313    11965.5354        11960.4376        11945.7053        11923.0477        11895.522         
4.777415852    15084.8138        14991.5157        14695.2586        14127.1083        13016.6118        
4.775134572    15567.9867        15466.7521        15144.4374        14522.7194        13281.7599        
4.772855469    13675.8935        13605.8016        13386.8374        12985.9248        12320.0037        
4.770578541    15872.9296        15766.5115        15425.9786        14762.9923        13431.9175        
4.768303784    15169.0741        15076.1812        14780.862         14212.505         13086.9883        
4.766031196    16545.5485        16431.3452        16065.2517        15348.5764        13873.4632        
4.763760773    12166.157         12149.716         12102.2699        12029.6457        11942.0501        
4.761492511    17609.6723        17485.4802        17084.6608        16287.2883        14588.4141        
4.759226409    14648.977         14564.1095        14295.136         13781.9015        12801.4176        
4.756962463    16274.2851        16167.7903        15825.3938        15150.607         13745.5949        
4.75470067     12129.357         12115.6541        12076.2128        12016.0696        11943.819         
4.752441027    16898.9652        16781.5354        16404.1569        15660.9816        14112.5053        
4.75018353     13102.1055        13049.4383        12886.6357        12597.7436        12163.3755        
4.747928177    15205.9492        15122.8001        14856.6394        14335.2084        13252.6525        
4.745674964    13322.1485        13261.3563        13073.0914        12736.6611        12218.5247        
4.74342389     16494.049         16378.1165        16007.2249        15284.6467        13813.7189        
4.741174949    12671.7049        12632.6769        12514.9795        12319.0755        12059.0479        
4.738928141    16524.9217        16430.4816        16125.3744        15515.8499        14184.933         
4.73668346     14373.4375        14289.5878        14025.4809        13529.7477        12630.3574        
4.734440906    15091.5341        15001.3454        14714.4032        14161.1891        13065.3772        
4.732200473    15994.5099        15890.6581        15558.8809        14913.7198        13595.7761        
4.72996216     18027.7866        17899.2595        17483.6912        16653.9314        14872.3138        
4.727725964    14678.3291        14585.9729        14295.1316        13749.5489        12755.8203        
4.725491881    14303.385         14208.8496        13915.5927        13387.5237        12528.1256        
4.723259908    18433.5373        18297.4496        17856.1581        16970.3412        15056.7787        
4.721030043    16127.298         15999.3367        15592.7078        14816.7849        13358.1288        
4.718802282    14838.0905        14751.3331        14475.8252        13947.3746        12921.8124        
4.716576623    15332.2508        15229.9795        14905.9672        14288.551         13101.4133        
4.714353062    18313.3923        18182.9734        17760.0011        16909.8667        15061.2627        
4.712131597    15220.2809        15135.5586        14864.4961        14334.5165        13245.599         
4.709912224    13987.6467        13896.6561        13617.6678        13130.2354        12396.9048        
4.707694941    14663.7685        14576.5252        14300.6972        13777.717         12797.9332        
4.705479745    14844.0721        14761.6208        14498.6912        13989.8           12985.6055        
4.703266632    11961.3011        11961.2666        11961.1689        11961.0283        11960.9162        
4.701055601    16050.1032        15938.9552        15584.9071        14901.8448        13539.3452        
4.698846647    14764.9432        14676.5765        14396.8083        13864.8293        12860.9694        
4.696639768    18353.4029        18230.1837        17830.5133        17025.5676        15253.4246        
4.694434961    12038.2635        12033.9938        12021.7263        12003.0696        11980.7226        
4.692232223    15459.5017        15361.5735        15049.9223        14449.0591        13254.5061        
4.690031551    16166.1222        16053.5477        15694.4616        14999.895         13612.6064        
4.687832943    17818.4702        17698.6666        17311.1807        16535.5571        14852.3451        
4.685636395    16333.4595        16233.0471        15910.4263        15274.3987        13929.5513        
4.683441904    13951.3002        13877.6468        13646.9193        13221.0888        12492.1841        
4.681249468    12828.368         12787.0284        12661.0436        12446.0266        12147.2981        
4.679059084    12279.9357        12262.894         12213.0944        12134.7525        12036.0305        
4.676870748    14775.6868        14649.2156        14261.3428        13586.3553        12586.775         
4.674684459    13913.2358        13837.8049        13602.7155        13174.4349        12464.9772        
4.672500212    16640.8729        16538.7662        16209.8473        15557.6089        14161.8456        
4.670318006    19021.119         18891.7834        18470.9055        17617.8968        15718.1578        
4.668137837    16495.4655        16387.6268        16041.9304        15364.4681        13956.2121        
4.665959703    18092.8357        17975.1127        17593.6892        16826.4342        15137.1317        
4.6637836      18607.6026        18477.7703        18056.4115        17207.6141        15345.6294        
4.661609527    17152.4848        17036.1643        16661.7563        15921.3486        14362.4005        
4.659437479    13272.8243        13217.6152        13047.5065        12746.5703        12286.3004        
4.657267454    12975.3583        12927.3359        12781.1156        12531.7605        12188.4324        
4.65509945     13656.2452        13570.6013        13314.4425        12892.0549        12321.656         
4.652933463    14784.9912        14703.2427        14443.1743        13942.2738        12962.2118        
4.650769491    17344.9588        17223.3568        16832.1761        16059.5645        14435.9306        
4.648607531    14734.1783        14631.6545        14311.0843        13722.8598        12728.6251        
4.64644758     12209.1822        12197.5477        12163.8852        12111.9819        12048.5765        
4.644289635    15423.0924        15327.6711        15024.1379        14439.0364        13274.5858        
4.642133693    16649.1853        16534.1826        16165.8494        15446.1334        13967.8034        
4.639979753    15068.9629        14983.4899        14711.113         14183.8061        13131.3138        
4.63782781     14271.5542        14193.1814        13946.3348        13484.0764        12658.121         
4.635677863    18206.8307        18081.2831        17675.0567        16861.5964        15096.4073        
4.633529907    12996.2065        12947.841         12800.831         12551.1256        12209.5099        
4.631383942    16642.3105        16533.0012        16182.0111        15491.5523        14046.5361        
4.629239963    17077.5009        16962.0145        16591.0098        15860.2869        14326.5852        
4.627097968    16028.6998        15929.0529        15610.3214        14987.9803        13700.2184        
4.624957955    13982.2792        13907.4968        13673.5817        13243.4976        12518.0525        
4.62281992     13134.3576        13082.8768        12925.068         12651.0459        12257.6035        
4.620683861    15057.7436        14970.5199        14693.0149        14158.1179        13104.4604        
4.618549775    14620.4221        14529.6388        14244.1802        13711.5183        12764.074         
4.61641766     14546.2966        14464.304         14205.0416        13713.8498        12801.3343        
4.614287512    14191.3887        14120.732         13896.8928        13471.71          12684.6589        
4.612159329    17253.184         17123.6147        16707.699         15891.831         14221.129         
4.610033108    12054.6491        12054.4238        12053.7784        12052.8009        12051.6321        
4.607908847    13452.3802        13396.2875        13220.9857        12900.7498        12382.5268        
