# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   4.7277260   1.03635e+01       74124.5720     0051
   4.7254919   1.18753e+01       74114.2920     0052
   4.7232599   1.19753e+01       74050.1470     0058
   4.7210300   1.02018e+01       74093.3210     0054
   4.7188023   1.27162e+01       74124.5720     0051
   4.7165766   1.15051e+01       74103.8710     0053
   4.7143531   1.12643e+01       74061.0540     0057
   4.7121316   1.07313e+01       74134.7020     0050
   4.7099122   1.18450e+01       74124.5720     0051
   4.7076949   1.21715e+01       74124.5720     0051
   4.7054797   1.38956e+01       74134.7020     0050
   4.7032666   1.03856e+01       74490.5740     0007
   4.7010556   1.09821e+01       74093.3210     0054
   4.6988466   1.29594e+01       74124.5720     0051
   4.6966398   1.27727e+01       74061.0540     0057
   4.6944350   1.09376e+01       74285.7070     0033
   4.6922322   1.08027e+01       74114.2920     0052
   4.6900316   1.13041e+01       74093.3210     0054
   4.6878329   1.24090e+01       74071.8970     0056
   4.6856364   1.30957e+01       74103.8710     0053
   4.6834419   1.23747e+01       74144.6740     0049
   4.6812495   1.13002e+01       74192.1440     0044
   4.6790591   1.08055e+01       74227.5180     0040
   4.6768707   1.13488e+01       74093.3210     0054
   4.6746845   1.18358e+01       74144.6740     0049
   4.6725002   1.20354e+01       74103.8710     0053
   4.6703180   1.16973e+01       74050.1470     0058
   4.6681378   1.26611e+01       74093.3210     0054
   4.6659597   1.23900e+01       74071.8970     0056
   4.6637836   1.04079e+01       74061.0540     0057
   4.6616095   1.29365e+01       74082.6580     0055
   4.6594375   1.19947e+01       74164.1380     0047
   4.6572675   1.25883e+01       74173.6290     0046
   4.6550994   1.11965e+01       74134.7020     0050
   4.6529335   1.24875e+01       74134.7020     0050
   4.6507695   1.04040e+01       74082.6580     0055
   4.6486075   1.10628e+01       74124.5720     0051
   4.6464476   1.25617e+01       74236.0720     0039
   4.6442896   1.21950e+01       74114.2920     0052
   4.6421337   1.05975e+01       74093.3210     0054
   4.6399798   1.06241e+01       74134.7020     0050
   4.6378278   1.13622e+01       74144.6740     0049
   4.6356779   1.00825e+01       74071.8970     0056
   4.6335299   1.25803e+01       74173.6290     0046
   4.6313839   1.36567e+01       74093.3210     0054
   4.6292400   1.27295e+01       74082.6580     0055
   4.6270980   1.02389e+01       74114.2920     0052
   4.6249580   1.08196e+01       74144.6740     0049
   4.6228199   1.22481e+01       74173.6290     0046
   4.6206839   1.01844e+01       74134.7020     0050
   4.6185498   1.18597e+01       74124.5720     0051
   4.6164177   1.21302e+01       74134.7020     0050
   4.6142875   1.15881e+01       74154.4870     0048
   4.6121593   1.28113e+01       74071.8970     0056
   4.6100331   1.02886e+01       74420.0920     0016
   4.6079088   1.24573e+01       74173.6290     0046
   4.6057865   1.33565e+01       74071.8970     0056
   4.6036662   1.03340e+01       74103.8710     0053
   4.6015478   1.36483e+01       74134.7020     0050
   4.5994313   1.05990e+01       74218.8580     0041
   4.5973168   1.00183e+01       74082.6580     0055
   4.5952043   1.21378e+01       74218.8580     0041
   4.5930937   1.34680e+01       74093.3210     0054
   4.5909850   1.06445e+01       74082.6580     0055
   4.5888782   1.26753e+01       74201.1800     0043
   4.5867734   1.06612e+01       74124.5720     0051
   4.5846705   1.32327e+01       74124.5720     0051
   4.5825696   1.08780e+01       74144.6740     0049
   4.5804705   1.05729e+01       74301.8060     0031
   4.5783734   1.21648e+01       74114.2920     0052
   4.5762782   1.16565e+01       74144.6740     0049
   4.5741850   1.14169e+01       74218.8580     0041
   4.5720936   1.04433e+01       74124.5720     0051
   4.5700042   1.23132e+01       74114.2920     0052
   4.5679166   1.04617e+01       74144.6740     0049
   4.5658310   1.31249e+01       74182.9610     0045
   4.5637473   1.23077e+01       74114.2920     0052
   4.5616654   1.15795e+01       74093.3210     0054
   4.5595855   1.21088e+01       74182.9610     0045
   4.5575075   1.16573e+01       74124.5720     0051
   4.5554313   1.11146e+01       74082.6580     0055
   4.5533571   1.30945e+01       74114.2920     0052
   4.5512847   1.13526e+01       74144.6740     0049
   4.5492142   1.09380e+01       74134.7020     0050
   4.5471456   1.12474e+01       74103.8710     0053
   4.5450789   1.28983e+01       74182.9610     0045
   4.5430141   1.01870e+01       74173.6290     0046
   4.5409511   1.00515e+01       74093.3210     0054
   4.5388900   1.13144e+01       74380.8910     0021
   4.5368308   1.15007e+01       74173.6290     0046
   4.5347735   1.31827e+01       74093.3210     0054
   4.5327180   1.06092e+01       74192.1440     0044
   4.5306644   1.32204e+01       74093.3210     0054
   4.5286126   1.16530e+01       74093.3210     0054
   4.5265627   1.22571e+01       74144.6740     0049
   4.5245146   1.08285e+01       74210.0820     0042
   4.5224684   1.16031e+01       74134.7020     0050
   4.5204241   1.04946e+01       74134.7020     0050
   4.5183816   1.10440e+01       74124.5720     0051
   4.5163409   1.00372e+01       74252.9020     0037
   4.5143021   1.17393e+01       74114.2920     0052
   4.5122652   1.18791e+01       74124.5720     0051
   4.5102300   1.06564e+01       74103.8710     0053
   4.5081967   1.30956e+01       74103.8710     0053
   4.5061653   1.00922e+01       74144.6740     0049
   4.5041356   1.18659e+01       74082.6580     0055
   4.5021078   1.02242e+01       74114.2920     0052
   4.5000818   1.14083e+01       74144.6740     0049
   4.4980577   1.32037e+01       74071.8970     0056
   4.4960353   1.26965e+01       74134.7020     0050
   4.4940148   1.00843e+01       74124.5720     0051
   4.4919961   1.20829e+01       74071.8970     0056
   4.4899792   1.04036e+01       74164.1380     0047
   4.4879641   1.08575e+01       74114.2920     0052
   4.4859508   1.22245e+01       74093.3210     0054
   4.4839393   1.21513e+01       74134.7020     0050
   4.4819297   1.07955e+01       74114.2920     0052
   4.4799218   1.27728e+01       74103.8710     0053
   4.4779157   1.05461e+01       74173.6290     0046
   4.4759115   1.40286e+01       74134.7020     0050
   4.4739090   1.09174e+01       74103.8710     0053
   4.4719083   3.62501e+01       74537.5950     0001
   4.4699094   1.19359e+01       74124.5720     0051
   4.4679123   1.34021e+01       74082.6580     0055
   4.4659169   1.21319e+01       74154.4870     0048
   4.4639234   1.34176e+01       74071.8970     0056
   4.4619316   1.16937e+01       74506.2430     0005
   4.4599416   1.17758e+01       74103.8710     0053
   4.4579534   1.04948e+01       74301.8060     0031
   4.4559669   1.04016e+01       74164.1380     0047
   4.4539823   1.28578e+01       74082.6580     0055
   4.4519994   1.36803e+01       74093.3210     0054
   4.4500182   1.12485e+01       74173.6290     0046
   4.4480388   1.09982e+01       74071.8970     0056
   4.4460612   1.15094e+01       74114.2920     0052
   4.4440853   1.21312e+01       74103.8710     0053
   4.4421112   1.23769e+01       74061.0540     0057
   4.4401389   1.17850e+01       74277.5900     0034
   4.4381682   1.02892e+01       74071.8970     0056
   4.4361994   1.08230e+01       74103.8710     0053
   4.4342323   1.31010e+01       74114.2920     0052
   4.4322669   1.26386e+01       74071.8970     0056
   4.4303033   1.21203e+01       74218.8580     0041
   4.4283414   1.08292e+01       74093.3210     0054
   4.4263812   1.12112e+01       74269.4250     0035
   4.4244228   1.14519e+01       74093.3210     0054
   4.4224661   1.13756e+01       74071.8970     0056
   4.4205112   1.25136e+01       74192.1440     0044
   4.4185579   1.37151e+01       74114.2920     0052
   4.4166064   1.24580e+01       74124.5720     0051
   4.4146567   1.22014e+01       74124.5720     0051
   4.4127086   1.26653e+01       74071.8970     0056
   4.4107623   1.24386e+01       74093.3210     0054
   4.4088176   1.00368e+01       74071.8970     0056
   4.4068747   1.14794e+01       74182.9610     0045
   4.4049335   1.28261e+01       74061.0540     0057
   4.4029940   1.30155e+01       74134.7020     0050
   4.4010563   1.19343e+01       74050.1470     0058
   4.3991202   1.15373e+01       74114.2920     0052
   4.3971858   1.24075e+01       74061.0540     0057
   4.3952531   1.31332e+01       74061.0540     0057
   4.3933222   1.20746e+01       74082.6580     0055
   4.3913929   1.19818e+01       74103.8710     0053
   4.3894653   1.27674e+01       74082.6580     0055
   4.3875394   1.35110e+01       74039.1950     0059
   4.3856152   1.01493e+01       74154.4870     0048
   4.3836927   1.18887e+01       74039.1950     0059
   4.3817718   1.14104e+01       74103.8710     0053
   4.3798527   1.21058e+01       74039.1950     0059
   4.3779352   1.41721e+01       74093.3210     0054
   4.3760194   1.09960e+01       74050.1470     0058
   4.3741053   1.12038e+01       74093.3210     0054
   4.3721929   1.43176e+01       74082.6580     0055
   4.3702821   1.07421e+01       74103.8710     0053
   4.3683730   1.38002e+01       74050.1470     0058
   4.3664655   1.13803e+01       74071.8970     0056
   4.3645598   1.19112e+01       74082.6580     0055
   4.3626557   1.17632e+01       74028.2130     0060
   4.3607532   1.37273e+01       74093.3210     0054
   4.3588524   1.09036e+01       74017.2080     0061
   4.3569533   1.05953e+01       74173.6290     0046
   4.3550558   1.16439e+01       74028.2130     0060
   4.3531600   1.12151e+01       74050.1470     0058
   4.3512658   1.14177e+01       74071.8970     0056
   4.3493733   1.27042e+01       74006.1940     0062
   4.3474824   1.20635e+01       74093.3210     0054
   4.3455932   1.30927e+01       74028.2130     0060
   4.3437056   1.24154e+01       74006.1940     0062
   4.3418196   1.27385e+01       74236.0720     0039
   4.3399353   1.02701e+01       74017.2080     0061
   4.3380526   1.13007e+01       74006.1940     0062
   4.3361716   1.18717e+01       74093.3210     0054
   4.3342921   1.29820e+01       74017.2080     0061
   4.3324143   1.14437e+01       74017.2080     0061
   4.3305382   1.20251e+01       74039.1950     0059
   4.3286636   1.02641e+01       74164.1380     0047
   4.3267907   1.13830e+01       74017.2080     0061
   4.3249194   1.11824e+01       74082.6580     0055
   4.3230497   1.26649e+01       73973.1360     0065
   4.3211816   1.00018e+01       73995.1750     0063
   4.3193152   1.30908e+01       74017.2080     0061
   4.3174503   1.17063e+01       74039.1950     0059
   4.3155871   1.08959e+01       74050.1470     0058
   4.3137255   1.34275e+01       74039.1950     0059
   4.3118655   1.23585e+01       74028.2130     0060
   4.3100071   1.00570e+01       73995.1750     0063
   4.3081502   1.12579e+01       73962.1210     0066
   4.3062950   1.36245e+01       73962.1210     0066
   4.3044414   1.13724e+01       74028.2130     0060
   4.3025894   1.07352e+01       74082.6580     0055
   4.3007389   1.34640e+01       73951.1080     0067
   4.2988901   1.17115e+01       74144.6740     0049
   4.2970429   1.29413e+01       73995.1750     0063
   4.2951972   1.16124e+01       74071.8970     0056
   4.2933531   1.00546e+01       73973.1360     0065
   4.2915106   1.11611e+01       73929.0930     0069
   4.2896697   1.05323e+01       73962.1210     0066
   4.2878304   1.04463e+01       73929.0930     0069
   4.2859926   1.06347e+01       73896.0960     0072
   4.2841564   1.04096e+01       74154.4870     0048
   4.2823218   1.03150e+01       74050.1470     0058
   4.2804888   1.00066e+01       73929.0930     0069
   4.2786573   1.12120e+01       73962.1210     0066
   4.2768274   1.20051e+01       73940.0990     0068
   4.2749990   1.05715e+01       74244.5300     0038
   4.2731722   1.14790e+01       73951.1080     0067
   4.2713470   1.14262e+01       73940.0990     0068
   4.2695234   1.10737e+01       73962.1210     0066
   4.2677013   1.17831e+01       74144.6740     0049
   4.2658807   1.15189e+01       73940.0990     0068
   4.2640617   1.13220e+01       73984.1540     0064
   4.2622443   1.16585e+01       74006.1940     0062
   4.2604284   1.01297e+01       74017.2080     0061
   4.2586140   1.20178e+01       73907.0910     0071
   4.2568012   1.01426e+01       73918.0900     0070
   4.2549899   1.01092e+01       74082.6580     0055
   4.2531802   1.11923e+01       73973.1360     0065
   4.2513720   1.01580e+01       74017.2080     0061
   4.2495654   1.07015e+01       74028.2130     0060
   4.2477603   1.00196e+01       73951.1080     0067
   4.2459567   1.10796e+01       73995.1750     0063
   4.2441546   1.07748e+01       73940.0990     0068
   4.2423541   1.17261e+01       73940.0990     0068
   4.2405551   1.19310e+01       74028.2130     0060
   4.2387577   1.00960e+01       74017.2080     0061
   4.2369617   1.07989e+01       74103.8710     0053
   4.2351673   1.08753e+01       73918.0900     0070
   4.2333744   1.13127e+01       73940.0990     0068
   4.2315830   1.07119e+01       73896.0960     0072
   4.2297931   1.28587e+01       73907.0910     0071
   4.2280048   1.14062e+01       73951.1080     0067
   4.2262179   1.14845e+01       73918.0900     0070
   4.2244326   1.07582e+01       73995.1750     0063
   4.2226488   1.05101e+01       73995.1750     0063
   4.2208664   1.28974e+01       73962.1210     0066
   4.2190856   1.00196e+01       73907.0910     0071
   4.2173063   1.20343e+01       74071.8970     0056
   4.2155285   1.01911e+01       74061.0540     0057
   4.2137522   1.19800e+01       73973.1360     0065
   4.2119773   1.04184e+01       73929.0930     0069
   4.2102040   1.20921e+01       73940.0990     0068
   4.2084322   1.13609e+01       74006.1940     0062
   4.2066618   1.18552e+01       73929.0930     0069
   4.2048930   1.19569e+01       73984.1540     0064
   4.2031256   1.11271e+01       74050.1470     0058
   4.2013597   1.11373e+01       73918.0900     0070
   4.1995953   1.01154e+01       73962.1210     0066
   4.1978324   1.14739e+01       73984.1540     0064
   4.1960710   1.01466e+01       73995.1750     0063
   4.1943110   1.06681e+01       74050.1470     0058
   4.1925525   1.26120e+01       73896.0960     0072
   4.1907955   1.14436e+01       73896.0960     0072
   4.1890399   1.21592e+01       73984.1540     0064
   4.1872859   1.15220e+01       73962.1210     0066
   4.1855333   1.26909e+01       74006.1940     0062
   4.1837821   1.22408e+01       73918.0900     0070
   4.1820325   1.19734e+01       73995.1750     0063
   4.1802843   1.15191e+01       73973.1360     0065
   4.1785375   1.18785e+01       73918.0900     0070
   4.1767922   1.14286e+01       73929.0930     0069
   4.1750484   1.03610e+01       74164.1380     0047
